<font color=black>11/27/25(00:02:22)<b> XoxoDiablo</b> | 127.0.0.1 | 3813044880 (<font color=red>logged out.</font color>(whatev))<br>
<font color=black>11/27/25(00:02:23)<b> NWKY</b> | 127.0.0.1 | 3813044880 (<font color=red>logged out.</font color>(Nicely Will Knot You))<br>
<font color=black>11/27/25(00:04:28)<b> NWKY</b> | 127.0.0.1 | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(00:04:53)<b> XoxoDiablo</b> | 127.0.0.1 | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(00:05:35)<b> NWKY</b> | 127.0.0.1 | 3813044880 (<font color=red>logged out.</font color>(Nicely Will Knot You))<br>
<font color=black>11/27/25(00:05:35)<b> XoxoDiablo</b> | 127.0.0.1 | 3813044880 (<font color=red>logged out.</font color>(whatev))<br>
<font color=black>11/27/25(00:08:57)<b> XoxoDiablo</b> | 127.0.0.1 | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(00:09:14)<b> NWKY</b> | 127.0.0.1 | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(00:10:04)<b> NWKY</b> | 127.0.0.1 | 3813044880 (<font color=red>logged out.</font color>(Nicely Will Knot You))<br>
<font color=black>11/27/25(00:10:05)<b> XoxoDiablo</b> | 127.0.0.1 | 3813044880 (<font color=red>logged out.</font color>(whatev))<br>
<font color=black>11/27/25(12:19:38)<b> NWKY</b> |  | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(12:38:36)<b> NWKY</b> |  | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(12:42:01)<b> NWKY</b> |  | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(12:49:39)<b> NWKY</b> |  | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(12:53:04)<b> NWKY</b> |  | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(19:55:33)<b> XoxoDiablo</b> |  | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(19:57:24)<b> XoxoDiablo</b> | 127.0.0.1 | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(19:57:47)<b> NWKY</b> | 127.0.0.1 | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(21:44:45)<b> XoxoDiablo</b> | 127.0.0.1 | 3813044880 (<font color=red>logged out.</font color>(whatev))<br>
<font color=black>11/27/25(21:44:46)<b> NWKY</b> | 127.0.0.1 | 3813044880 (<font color=red>logged out.</font color>(Nicely Will Knot You))<br>
<font color=black>11/27/25(21:47:59)<b> NWKY</b> | 127.0.0.1 | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(21:48:17)<b> XoxoDiablo</b> | 127.0.0.1 | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(21:53:09)<b> XoxoDiablo</b> | 127.0.0.1 | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(21:53:31)<b> NWKY</b> | 127.0.0.1 | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(21:54:50)<b> NWKY</b> | 127.0.0.1 | 3813044880 (<font color=red>logged out.</font color>(Nicely Will Knot You))<br>
<font color=black>11/27/25(21:54:52)<b> XoxoDiablo</b> | 127.0.0.1 | 3813044880 (<font color=red>logged out.</font color>(whatev))<br>
<font color=black>11/27/25(21:56:54)<b> NWKY</b> | 127.0.0.1 | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(21:57:12)<b> XoxoDiablo</b> | 127.0.0.1 | 3813044880 (<font color=blue>logged in.</font color>)<br>
<font color=black>11/27/25(21:58:23)<b> NWKY</b> | 127.0.0.1 | 3813044880 (<font color=red>logged out.</font color>(Nicely Will Knot You))<br>
<font color=black>11/27/25(21:58:27)<b> XoxoDiablo</b> | 127.0.0.1 | 3813044880 (<font color=red>logged out.</font color>(whatev))<br>
<font color=black>11/27/25(22:02:17)<b> XoxoDiablo</b> |  | 3813044880 (<font color=blue>logged in.</font color>)<br>
